t,velL,velR,velL_sp,velR_sp,mL,mR,rawL,rawR
1378.936368,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.938373,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.940457,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.942373,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.944364,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.946357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.948358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.950360,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.952367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.954357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.956359,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.958361,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.960388,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.962357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.964367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.966357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.968367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.970357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.972367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.974357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.976367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.978357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.980367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.982357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.984367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.986357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.988367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.990357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.992367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.994357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.996367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1378.998357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.000367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.002357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.004367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.006357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.008367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.010357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.012367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.014357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.016367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.018357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.020367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.022357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.024367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.026357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.028367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.030357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.032367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.034357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.036367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.038357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.040367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.042357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.044367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.046357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.048367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.050357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
