t,velL,velR,velL_sp,velR_sp,mL,mR
2601.849960,0.000000,0.000000,,,0.000000,0.000000
2601.854956,0.000000,0.000000,,,0.000000,0.000000
2601.859964,0.000000,0.000000,,,0.000000,0.000000
2601.864956,0.000000,0.000000,,,0.000000,0.000000
2601.869956,0.000000,0.000000,,,0.000000,0.000000
2601.874956,0.000000,0.000000,,,0.000000,0.000000
2601.879956,0.000000,0.000000,,,0.000000,0.000000
2601.884956,0.000000,0.000000,,,0.000000,0.000000
2601.889956,0.000000,0.000000,,,0.000000,0.000000
2601.894956,0.000000,0.000000,,,0.000000,0.000000
2601.899956,0.000000,0.000000,,,0.000000,0.000000
2601.904956,0.000000,0.000000,,,0.000000,0.000000
2601.909956,0.000000,0.000000,,,0.000000,0.000000
2601.914956,0.000000,0.000000,,,0.000000,0.000000
2601.919956,0.000000,0.000000,,,0.000000,0.000000
2601.924956,0.000000,0.000000,,,0.000000,0.000000
2601.929956,0.000000,0.000000,,,0.000000,0.000000
2601.934956,0.000000,0.000000,,,0.000000,0.000000
2601.939957,0.000000,0.000000,,,0.000000,0.000000
2601.944957,0.000000,0.000000,,,0.000000,0.000000
2601.949969,0.000000,0.000000,,,0.000000,0.000000
2601.954957,0.000000,0.000000,,,0.000000,0.000000
2601.959971,0.000000,0.000000,,,0.000000,0.000000
2601.964960,0.000000,0.000000,,,0.000000,0.000000
2601.969956,0.000000,0.000000,,,0.000000,0.000000
2601.974956,0.000000,0.000000,,,0.000000,0.000000
2601.979956,0.000000,0.000000,,,0.000000,0.000000
2601.984956,0.000000,0.000000,,,0.000000,0.000000
2601.989956,0.000000,0.000000,,,0.000000,0.000000
2601.994956,0.000000,0.000000,,,0.000000,0.000000
2601.999956,0.000000,0.000000,,,0.000000,0.000000
2602.004956,0.000000,0.000000,,,0.000000,0.000000
2602.009956,0.000000,0.000000,,,0.000000,0.000000
2602.014956,0.000000,0.000000,,,0.000000,0.000000
2602.019956,0.000000,0.000000,,,0.000000,0.000000
2602.024956,0.000000,0.000000,,,0.000000,0.000000
2602.029956,0.000000,0.000000,,,0.000000,0.000000
2602.034956,0.000000,0.000000,,,0.000000,0.000000
2602.039956,0.000000,0.000000,,,0.000000,0.000000
2602.044956,0.000000,0.000000,,,0.000000,0.000000
2602.049956,0.000000,0.000000,,,0.000000,0.000000
2602.054956,0.000000,0.000000,,,0.000000,0.000000
2602.059956,0.000000,0.000000,,,0.000000,0.000000
2602.064956,0.000000,0.000000,,,0.000000,0.000000
2602.069956,0.000000,0.000000,,,0.000000,0.000000
2602.074956,0.000000,0.000000,,,0.000000,0.000000
2602.079956,0.000000,0.000000,,,0.000000,0.000000
2602.084956,0.000000,0.000000,,,0.000000,0.000000
2602.089956,0.000000,0.000000,,,0.000000,0.000000
2602.094956,0.000000,0.000000,,,0.000000,0.000000
2602.099956,0.000000,0.000000,,,0.000000,0.000000
2602.104956,0.000000,0.000000,,,0.000000,0.000000
2602.109956,0.000000,0.000000,,,0.000000,0.000000
2602.114956,0.000000,0.000000,,,0.000000,0.000000
2602.119956,0.000000,0.000000,,,0.000000,0.000000
2602.124956,0.000000,0.000000,,,0.000000,0.000000
2602.129956,0.000000,0.000000,,,0.000000,0.000000
2602.134956,0.000000,0.000000,,,0.000000,0.000000
2602.139956,0.000000,0.000000,,,0.000000,0.000000
2602.144956,0.000000,0.000000,,,0.000000,0.000000
2602.149956,0.000000,0.000000,,,0.000000,0.000000
2602.154956,0.000000,0.000000,,,0.000000,0.000000
2602.159956,0.000000,0.000000,,,0.000000,0.000000
2602.164956,0.000000,0.000000,,,0.000000,0.000000
2602.169956,0.000000,0.000000,,,0.000000,0.000000
2602.174956,0.000000,0.000000,,,0.000000,0.000000
2602.179956,0.000000,0.000000,,,0.000000,0.000000
2602.184956,0.000000,0.000000,,,0.000000,0.000000
2602.189956,0.000000,0.000000,,,0.000000,0.000000
2602.194956,0.000000,0.000000,,,0.000000,0.000000
2602.199956,0.000000,0.000000,,,0.000000,0.000000
2602.204956,0.000000,0.000000,,,0.000000,0.000000
2602.209956,0.000000,0.000000,,,0.000000,0.000000
2602.214956,0.000000,0.000000,,,0.000000,0.000000
2602.219956,0.000000,0.000000,,,0.000000,0.000000
2602.224956,0.000000,0.000000,,,0.000000,0.000000
2602.229956,0.000000,0.000000,,,0.000000,0.000000
2602.234956,0.000000,0.000000,,,0.000000,0.000000
2602.239956,0.000000,0.000000,,,0.000000,0.000000
2602.244956,0.000000,0.000000,,,0.000000,0.000000
2602.249956,0.000000,0.000000,,,0.000000,0.000000
2602.254956,0.000000,0.000000,,,0.000000,0.000000
2602.259956,0.000000,0.000000,,,0.000000,0.000000
2602.264956,0.000000,0.000000,,,0.000000,0.000000
2602.269956,0.000000,0.000000,,,0.000000,0.000000
2602.274956,0.000000,0.000000,,,0.000000,0.000000
2602.279956,0.000000,0.000000,,,0.000000,0.000000
2602.284956,0.000000,0.000000,,,0.000000,0.000000
2602.289956,0.000000,0.000000,,,0.000000,0.000000
2602.294956,0.000000,0.000000,,,0.000000,0.000000
2602.299956,0.000000,0.000000,,,0.000000,0.000000
2602.304956,0.000000,0.000000,,,0.000000,0.000000
2602.309956,0.000000,0.000000,,,0.000000,0.000000
2602.314956,0.000000,0.000000,,,0.000000,0.000000
2602.319956,0.000000,0.000000,,,0.000000,0.000000
2602.324956,0.000000,0.000000,,,0.000000,0.000000
2602.329956,0.000000,0.000000,,,0.000000,0.000000
2602.334956,0.000000,0.000000,,,0.000000,0.000000
2602.339956,0.000000,0.000000,,,0.000000,0.000000
2602.344956,0.000000,0.000000,,,0.000000,0.000000
2602.349957,0.000000,0.000000,,,0.000000,0.000000
2602.354962,0.000000,0.000000,,,0.000000,0.000000
2602.359964,0.000000,0.000000,,,0.000000,0.000000
2602.364956,0.000000,0.000000,,,0.000000,0.000000
2602.369956,0.000000,0.000000,,,0.000000,0.000000
2602.374956,0.000000,0.000000,,,0.000000,0.000000
2602.379956,0.000000,0.000000,,,0.000000,0.000000
2602.384956,0.000000,0.000000,,,0.000000,0.000000
2602.389956,0.000000,0.000000,,,0.000000,0.000000
2602.394956,0.000000,0.000000,,,0.000000,0.000000
2602.399956,0.000000,0.000000,,,0.000000,0.000000
2602.404956,0.000000,0.000000,,,0.000000,0.000000
2602.409956,0.000000,0.000000,,,0.000000,0.000000
2602.414956,0.000000,0.000000,,,0.000000,0.000000
2602.419956,0.000000,0.000000,,,0.000000,0.000000
2602.424956,0.000000,0.000000,,,0.000000,0.000000
2602.429956,0.000000,0.000000,,,0.000000,0.000000
2602.434956,0.000000,0.000000,,,0.000000,0.000000
2602.439956,0.000000,0.000000,,,0.000000,0.000000
2602.444956,0.000000,0.000000,,,0.000000,0.000000
2602.449956,0.000000,0.000000,,,0.000000,0.000000
2602.454957,0.000000,0.000000,,,0.000000,0.000000
2602.459964,0.000000,0.000000,,,0.000000,0.000000
2602.464957,0.000000,0.000000,,,0.000000,0.000000
2602.469961,0.000000,0.000000,,,0.000000,0.000000
2602.474965,0.000000,0.000000,,,0.000000,0.000000
2602.479968,0.000000,0.000000,,,0.000000,0.000000
2602.484960,0.000000,0.000000,,,0.000000,0.000000
2602.489956,0.000000,0.000000,,,0.000000,0.000000
2602.494956,0.000000,0.000000,,,0.000000,0.000000
2602.499956,0.000000,0.000000,,,0.000000,0.000000
2602.504956,0.000000,0.000000,,,0.000000,0.000000
2602.509956,0.000000,0.000000,,,0.000000,0.000000
2602.514956,0.000000,0.000000,,,0.000000,0.000000
2602.519956,0.000000,0.000000,,,0.000000,0.000000
2602.524956,0.000000,0.000000,,,0.000000,0.000000
2602.529956,0.000000,0.000000,,,0.000000,0.000000
2602.534956,0.000000,0.000000,,,0.000000,0.000000
2602.539956,0.000000,0.000000,,,0.000000,0.000000
2602.544956,0.000000,0.000000,,,0.000000,0.000000
2602.549956,0.000000,0.000000,,,0.000000,0.000000
2602.554956,0.000000,0.000000,,,0.000000,0.000000
2602.559956,0.000000,0.000000,,,0.000000,0.000000
2602.564956,0.000000,0.000000,,,0.000000,0.000000
2602.569956,0.000000,0.000000,,,0.000000,0.000000
2602.574956,0.000000,0.000000,,,0.000000,0.000000
2602.579956,0.000000,0.000000,,,0.000000,0.000000
2602.584956,0.000000,0.000000,,,0.000000,0.000000
2602.589956,0.000000,0.000000,,,0.000000,0.000000
2602.594956,0.000000,0.000000,,,0.000000,0.000000
2602.599956,0.000000,0.000000,,,0.000000,0.000000
2602.604956,0.000000,0.000000,,,0.000000,0.000000
2602.609956,0.000000,0.000000,,,0.000000,0.000000
2602.614960,0.000000,0.000000,,,0.000000,0.000000
2602.619956,0.000000,0.000000,,,0.000000,0.000000
2602.624956,0.000000,0.000000,,,0.000000,0.000000
2602.629968,0.000000,0.000000,,,0.000000,0.000000
2602.634957,0.000000,0.000000,,,0.300000,0.300000
2602.639957,0.000000,-0.951998,,,0.300000,0.300000
2602.644977,0.947238,-0.947238,,,0.300000,0.300000
2602.649956,0.951998,-0.951998,,,0.300000,0.300000
2602.654964,1.899236,-1.899236,,,0.300000,0.300000
2602.659957,1.903996,-1.903996,,,0.300000,0.300000
2602.664960,2.851233,-2.851233,,,0.300000,0.300000
2602.669956,2.855993,-2.855993,,,0.300000,0.300000
2602.674956,2.855993,-3.807991,,,0.300000,0.300000
2602.679956,3.807991,-2.855993,,,0.300000,0.300000
2602.684956,3.807991,-4.759989,,,0.300000,0.300000
2602.689956,4.759989,-3.807991,,,0.300000,0.300000
2602.694956,3.807991,-4.759989,,,0.300000,0.300000
2602.699956,4.759989,-4.759989,,,0.300000,0.300000
2602.704956,4.759989,-4.759989,,,0.300000,0.300000
2602.709956,5.711987,-4.759989,,,0.300000,0.300000
2602.714956,4.759989,-5.711987,,,0.300000,0.300000
2602.719956,5.711987,-5.711987,,,0.300000,0.300000
2602.724956,5.711987,-5.711987,,,0.300000,0.300000
2602.729956,5.711987,-5.711987,,,0.300000,0.300000
2602.734956,6.663984,-5.711987,,,0.300000,0.300000
2602.739956,5.711987,-5.711987,,,0.300000,0.300000
2602.744956,6.663984,-6.663984,,,0.300000,0.300000
2602.749956,5.711987,-6.663984,,,0.300000,0.300000
2602.754956,6.663984,-5.711987,,,0.300000,0.300000
2602.759956,6.663984,-6.663984,,,0.300000,0.300000
2602.764956,6.663984,-6.663984,,,0.300000,0.300000
2602.769956,6.663984,-6.663984,,,0.300000,0.300000
2602.774956,7.615982,-6.663984,,,0.300000,0.300000
2602.779956,6.663984,-6.663984,,,0.300000,0.300000
2602.784956,6.663984,-7.615982,,,0.300000,0.300000
2602.789956,7.615982,-6.663984,,,0.300000,0.300000
2602.794956,7.615982,-6.663984,,,0.300000,0.300000
2602.799956,6.663984,-7.615982,,,0.300000,0.300000
2602.804956,7.615982,-6.663984,,,0.300000,0.300000
2602.809956,7.615982,-7.615982,,,0.300000,0.300000
2602.814956,6.663984,-7.615982,,,0.300000,0.300000
2602.819956,7.615982,-6.663984,,,0.300000,0.300000
2602.824956,7.615982,-7.615982,,,0.300000,0.300000
2602.829956,8.567980,-7.615982,,,0.300000,0.300000
2602.834956,7.615982,-7.615982,,,0.300000,0.300000
2602.839956,7.615982,-7.615982,,,0.300000,0.300000
