t,velL,velR,velL_sp,velR_sp,mL,mR,uL,uR
247.332641,0.000000,0.000000,,,0.000000,0.000000,,
247.337691,0.000000,0.000000,,,0.000000,0.000000,,
247.342652,0.000000,0.000000,,,0.000000,0.000000,,
247.347664,0.000000,0.000000,,,0.000000,0.000000,,
247.352708,0.000000,0.000000,,,0.000000,0.000000,,
247.357671,0.000000,0.000000,,,0.000000,0.000000,,
247.362644,0.000000,0.000000,,,0.000000,0.000000,,
247.367664,0.000000,0.000000,,,0.000000,0.000000,,
247.372652,0.000000,0.000000,,,0.000000,0.000000,,
247.377640,0.000000,0.000000,,,0.000000,0.000000,,
247.382640,0.000000,0.000000,,,0.000000,0.000000,,
247.387640,0.000000,0.000000,,,0.000000,0.000000,,
247.392640,0.000000,0.000000,,,0.000000,0.000000,,
247.397640,0.000000,0.000000,,,0.000000,0.000000,,
247.402640,0.000000,0.000000,,,0.000000,0.000000,,
247.407640,0.000000,0.000000,,,0.000000,0.000000,,
247.412640,0.000000,0.000000,,,0.000000,0.000000,,
247.417640,0.000000,0.000000,,,0.000000,0.000000,,
247.422640,0.000000,0.000000,,,0.000000,0.000000,,
247.427640,0.000000,0.000000,,,0.000000,0.000000,,
247.432640,0.000000,0.000000,,,0.000000,0.000000,,
247.437640,0.000000,0.000000,,,0.000000,0.000000,,
247.442644,0.000000,0.000000,,,0.000000,0.000000,,
247.447640,0.000000,0.000000,,,0.000000,0.000000,,
247.452640,0.000000,0.000000,,,0.000000,0.000000,,
247.457640,0.000000,0.000000,,,0.000000,0.000000,,
247.462640,0.000000,0.000000,,,0.000000,0.000000,,
247.467640,0.000000,0.000000,,,0.000000,0.000000,,
247.472640,0.000000,0.000000,,,0.000000,0.000000,,
247.477640,0.000000,0.000000,,,0.000000,0.000000,,
247.482640,0.000000,0.000000,,,0.000000,0.000000,,
247.487640,0.000000,0.000000,,,0.000000,0.000000,,
247.492640,0.000000,0.000000,,,0.000000,0.000000,,
247.497640,0.000000,0.000000,,,0.000000,0.000000,,
247.502640,0.000000,0.000000,,,0.000000,0.000000,,
247.507640,0.000000,0.000000,,,0.000000,0.000000,,
247.512640,0.000000,0.000000,,,0.000000,0.000000,,
247.517640,0.000000,0.000000,,,0.000000,0.000000,,
247.522640,0.000000,0.000000,,,0.000000,0.000000,,
247.527640,0.000000,0.000000,,,0.000000,0.000000,,
247.532640,0.000000,0.000000,,,0.000000,0.000000,,
247.537640,0.000000,0.000000,,,0.000000,0.000000,,
247.542640,0.000000,0.000000,,,0.000000,0.000000,,
247.547640,0.000000,0.000000,,,0.000000,0.000000,,
247.552640,0.000000,0.000000,,,0.000000,0.000000,,
247.557640,0.000000,0.000000,,,0.000000,0.000000,,
247.562640,0.000000,0.000000,,,0.000000,0.000000,,
